"dimension","category","value","unit","denominator","reference_date","status","source_key","note"
"internet_use_3m_by_age","55_64","95.02","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Internet use in prior 3 months"
"internet_use_3m_by_age","65_74","79.47","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Internet use in prior 3 months"
"internet_use_3m_by_age","75_plus","39.53","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Internet use in prior 3 months"
"online_purchase_3m_by_age","18_24","84.94","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_3m_by_age","25_34","86.90","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_3m_by_age","35_44","82.46","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_3m_by_age","45_54","73.68","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_3m_by_age","55_64","55.92","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_3m_by_age","65_74","30.49","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_3m_by_age","75_plus","10.30","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_12m_by_age","18_24","90.27","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_12m_by_age","25_34","91.58","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_12m_by_age","35_44","88.45","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_12m_by_age","45_54","81.22","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_12m_by_age","55_64","64.60","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_12m_by_age","65_74","36.89","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
"online_purchase_12m_by_age","75_plus","13.08","percent","weighted_age_band","2025","derived_from_official_microdata","ROSSTAT_ICT_2025","Any goods or services; not grocery-app usage"
