n_users,table,column,sample_inferred_dtype
10000,yards.csv,assignment,object
10000,stores.csv,store_id,object
10000,stores.csv,federal_district,object
10000,stores.csv,urban,bool
10000,fraud_events_ground_truth.csv,fraud_event_id,object
10000,fraud_events_ground_truth.csv,user_id,object
10000,fraud_events_ground_truth.csv,scenario_type,object
10000,fraud_events_ground_truth.csv,is_fraud_ground_truth,int64
10000,fraud_events_ground_truth.csv,event_ts,object
10000,users.csv,user_id,object
10000,users.csv,age_band,object
10000,users.csv,sex,object
10000,users.csv,urban,int64
10000,users.csv,federal_district,object
10000,users.csv,digital_readiness,float64
10000,users.csv,loyalty_member,int64
10000,users.csv,app_user,int64
10000,users.csv,home_store_id,object
10000,users.csv,archetype,object
10000,users.csv,baseline_visit_rate_week,float64
10000,users.csv,basket_base_rub,float64
10000,users.csv,promo_sensitivity,float64
10000,users.csv,has_child_under_18,int64
10000,users.csv,has_child_under_3,int64
10000,receipts.csv,receipt_id,object
10000,receipts.csv,user_id,object
10000,receipts.csv,store_id,object
10000,receipts.csv,ts,object
10000,receipts.csv,week_index,int64
10000,receipts.csv,assignment,object
10000,receipts.csv,total_paid_rub,float64
10000,receipts.csv,regular_total_rub,float64
10000,receipts.csv,discount_total_rub,float64
10000,receipts.csv,is_returned,bool
10000,receipts.csv,return_amount_rub,float64
10000,receipts.csv,net_sales_rub,float64
10000,receipts.csv,contribution_margin_rate,float64
10000,receipts.csv,contribution_margin_rub,float64
10000,fraud_personas_ground_truth.csv,user_id,object
10000,fraud_personas_ground_truth.csv,fraud_persona_ground_truth,object
10000,rewards.csv,reward_id,object
10000,rewards.csv,user_id,object
10000,rewards.csv,challenge_id,object
10000,rewards.csv,yard_id,object
10000,rewards.csv,amount_rub_equivalent,float64
10000,rewards.csv,funded_by,object
10000,rewards.csv,issued_ts,object
10000,rewards.csv,final_status,object
10000,yard_cycles.csv,yard_id,object
10000,yard_cycles.csv,cycle,int64
10000,yard_cycles.csv,start_ts,object
10000,yard_cycles.csv,end_ts,object
10000,yard_cycles.csv,goal_visits,int64
10000,yard_cycles.csv,actual_visits,int64
10000,yard_cycles.csv,total_deficit,int64
10000,yard_cycles.csv,total_surplus,int64
10000,yard_cycles.csv,backup_coef,float64
10000,yard_cycles.csv,completed,int64
10000,challenge_events.csv,challenge_event_id,object
10000,challenge_events.csv,challenge_id,object
10000,challenge_events.csv,user_id,object
10000,challenge_events.csv,event_ts,object
10000,challenge_events.csv,event_type,object
10000,challenge_events.csv,progress_visits,int64
10000,challenge_candidates.csv,challenge_id,object
10000,challenge_candidates.csv,user_id,object
10000,challenge_candidates.csv,yard_id,object
10000,challenge_candidates.csv,cycle,int64
10000,challenge_candidates.csv,start_ts,object
10000,challenge_candidates.csv,end_ts,object
10000,challenge_candidates.csv,challenge_type,object
10000,challenge_candidates.csv,target_visits,int64
10000,challenge_candidates.csv,target_uplift,float64
10000,challenge_candidates.csv,evidence_status,object
10000,memberships.csv,yard_id,object
10000,memberships.csv,user_id,object
